Quantity,Name,Finish,Condition,Date Added,Language,Purchase Price,Tags,Edition Name,Edition Code,Multiverse Id,Scryfall ID,Collector Number,Price (TCG Player)
1,+2 Mace,Normal,NM,2024-01-04,EN,,,Adventures in the Forgotten Realms,afr,0,e882c9f9-bf30-46b6-bedc-379d2c80e5cb,1,0.02
1,+2 Mace,Normal,NM,2023-12-27,EN,,,Adventures in the Forgotten Realms,afr,0,e882c9f9-bf30-46b6-bedc-379d2c80e5cb,1,0.02
1,Aardwolf's Advantage,Foil,NM,2024-02-07,EN,,,Unfinity,unf,580777,c775a7d1-a1f7-460b-b1f4-888006058e15,97,0.03
1,Abandoned Sarcophagus,Normal,NM,2024-03-03,EN,,,Hour of Devastation,hou,430847,c191fb87-f111-4ac2-a52a-3af103a9314e,158,0.13
1,Abandon Hope,Normal,NM,2024-03-14,EN,,,Tempest,tmp,4635,942cf220-472c-48f6-8f60-993939ea5ab8,107,0.27
1,Abbey Gargoyles,Normal,NM,2024-03-07,EN,,,Fifth Edition,5ed,4098,29b5b70d-e5b9-4bc3-87b1-51dc6e5085a5,1,0.27
1,"Abdel Adrian, Gorion's Ward",Normal,NM,2023-12-12,EN,,,Commander Legends: Battle for Baldur's Gate,clb,562885,396f9198-67b6-45d8-91b4-dc853bff9623,2,0.07
1,Aberrant Mind Sorcerer,Normal,NM,2024-01-07,EN,,,Adventures in the Forgotten Realms,afr,527331,d9c6401a-e152-4acf-a2ca-75c484f296d5,44,0.03
1,Aberrant Mind Sorcerer,Normal,NM,2023-12-29,EN,,,Adventures in the Forgotten Realms,afr,527331,d9c6401a-e152-4acf-a2ca-75c484f296d5,44,0.03
1,Aberrant Mind Sorcerer,Normal,NM,2023-12-27,EN,,,Adventures in the Forgotten Realms,afr,527331,d9c6401a-e152-4acf-a2ca-75c484f296d5,44,0.03
1,Abiding Grace,Normal,NM,2024-01-18,EN,,,Modern Horizons 2,mh2,522077,db113c47-c403-4c7f-9fa9-212c977df8d1,1,0.11
1,Abiding Grace,Normal,NM,2023-12-31,EN,,,Modern Horizons 2,mh2,522077,db113c47-c403-4c7f-9fa9-212c977df8d1,1,0.11
1,Abjure,Normal,NM,2024-04-19,EN,,,Weatherlight,wth,4477,fbad9449-d09c-4fd0-b2ad-2aa3a29e03bf,31,1.06
1,Abomination of Llanowar,Foil,NM,2023-12-19,EN,,,Commander Legends,cmr,497785,567dbc64-4d59-4bab-a551-08fc66c085fa,265,0.19
1,Abrade,Foil,NM,2024-04-27,EN,,,The Lost Caverns of Ixalan,lci,636839,47f39b5e-2e85-4f31-bbab-0b0bf58f701d,131,0.26
2,Abrade,Normal,NM,2024-03-01,EN,,,Hour of Devastation,hou,430772,84319dfb-eaf7-4b98-8c4f-30f5e779591b,83,0.14
1,Abrade,Normal,NM,2023-12-29,EN,,,The Lost Caverns of Ixalan,lci,636839,47f39b5e-2e85-4f31-bbab-0b0bf58f701d,131,0.08
1,Abrade,Normal,NM,2023-12-25,EN,,,The Lost Caverns of Ixalan,lci,636839,47f39b5e-2e85-4f31-bbab-0b0bf58f701d,131,0.08
1,Abrade,Normal,NM,2023-12-21,EN,,,The Lost Caverns of Ixalan,lci,636839,47f39b5e-2e85-4f31-bbab-0b0bf58f701d,131,0.08
1,Abrade,Normal,NM,2023-12-20,EN,,,The Lost Caverns of Ixalan,lci,636839,47f39b5e-2e85-4f31-bbab-0b0bf58f701d,131,0.08
1,Abrade,Normal,NM,2023-12-17,EN,,,The Lost Caverns of Ixalan,lci,636839,47f39b5e-2e85-4f31-bbab-0b0bf58f701d,131,0.08
1,Abraded Bluffs,Foil,NM,2024-04-23,EN,,,Outlaws of Thunder Junction,otj,655192,19e96521-b4ce-4a36-a887-200e05ccc804,251,0.19
1,Abraded Bluffs,Normal,NM,2024-04-22,EN,,,Outlaws of Thunder Junction,otj,655192,19e96521-b4ce-4a36-a887-200e05ccc804,251,0.11
1,Absolving Lammasu,Normal,NM,2024-02-18,EN,,,Murders at Karlov Manor,mkm,646566,bd6e71a1-713e-4eca-bd65-9f0638c16794,2,0.01
1,Absolving Lammasu,Normal,NM,2024-02-18,EN,,,Murders at Karlov Manor,mkm,646566,bd6e71a1-713e-4eca-bd65-9f0638c16794,2,0.01
2,"Abuelo, Ancestral Echo",Normal,NM,2023-12-25,EN,,,The Lost Caverns of Ixalan,lci,636505,e0bcc6f3-bae4-485c-82da-56c15c97c7f8,297,0.13
