Quantity,Name,Finish,Condition,Date Added,Language,Purchase Price,Tags,Edition Name,Edition Code,Multiverse Id,Collector Number,Price (Card Kingdom),Price (TCG Player),Price (Star City Games),Price (Card Hoarder),Price (Card Market)
1,+2 Mace,Normal,NM,2024-01-04,EN,,,Adventures in the Forgotten Realms,afr,0,1,0.35,0.03,0.29,0.03,0.04
1,+2 Mace,Normal,NM,2023-12-27,EN,,,Adventures in the Forgotten Realms,afr,0,1,0.35,0.03,0.29,0.03,0.04
1,Aardwolf's Advantage,Foil,NM,2024-02-07,EN,,,Unfinity,unf,580777,97,0.49,0.05,0.39,0.00,0.06
1,Abandoned Sarcophagus,Normal,NM,2024-03-03,EN,,,Hour of Devastation,hou,430847,158,0.49,0.15,0.49,0.02,0.14
1,Abandon Hope,Normal,NM,2024-03-14,EN,,,Tempest,tmp,4635,107,0.35,0.25,0.29,0.04,0.17
1,Abbey Gargoyles,Normal,NM,2024-03-07,EN,,,Fifth Edition,5ed,4098,1,0.35,0.15,0.29,0.00,0.06
1,"Abdel Adrian, Gorion's Ward",Normal,NM,2023-12-12,EN,,,Commander Legends: Battle for Baldur's Gate,clb,562885,2,0.35,0.10,0.29,8.66,0.18
1,Aberrant Mind Sorcerer,Normal,NM,2024-01-07,EN,,,Adventures in the Forgotten Realms,afr,527331,44,0.35,0.04,0.29,0.03,0.07
1,Aberrant Mind Sorcerer,Normal,NM,2023-12-29,EN,,,Adventures in the Forgotten Realms,afr,527331,44,0.35,0.04,0.29,0.03,0.07
1,Aberrant Mind Sorcerer,Normal,NM,2023-12-27,EN,,,Adventures in the Forgotten Realms,afr,527331,44,0.35,0.04,0.29,0.03,0.07
1,Abiding Grace,Normal,NM,2024-01-18,EN,,,Modern Horizons 2,mh2,522077,1,0.35,0.12,0.29,0.03,0.16
1,Abiding Grace,Normal,NM,2023-12-31,EN,,,Modern Horizons 2,mh2,522077,1,0.35,0.12,0.29,0.03,0.16
1,Abjure,Normal,NM,2024-04-19,EN,,,Weatherlight,wth,4477,31,1.79,0.96,1.25,0.04,0.71
1,Abomination of Llanowar,Foil,NM,2023-12-19,EN,,,Commander Legends,cmr,497785,265,0.49,0.21,0.49,0.32,0.40
1,Abrade,Foil,NM,2024-05-20,EN,,,The Lost Caverns of Ixalan,lci,636839,131,0.49,0.16,0.39,0.02,0.30
1,Abrade,Foil,NM,2024-05-11,EN,,,The Lost Caverns of Ixalan,lci,636839,131,0.49,0.16,0.39,0.02,0.30
1,Abrade,Foil,NM,2024-04-27,EN,,,The Lost Caverns of Ixalan,lci,636839,131,0.49,0.16,0.39,0.02,0.30
2,Abrade,Normal,NM,2024-03-01,EN,,,Hour of Devastation,hou,430772,83,0.39,0.22,0.39,0.03,0.19
1,Abrade,Normal,NM,2023-12-29,EN,,,The Lost Caverns of Ixalan,lci,636839,131,0.35,0.14,0.29,0.03,0.09
1,Abrade,Normal,NM,2023-12-25,EN,,,The Lost Caverns of Ixalan,lci,636839,131,0.35,0.14,0.29,0.03,0.09
1,Abrade,Normal,NM,2023-12-21,EN,,,The Lost Caverns of Ixalan,lci,636839,131,0.35,0.14,0.29,0.03,0.09
1,Abrade,Normal,NM,2023-12-20,EN,,,The Lost Caverns of Ixalan,lci,636839,131,0.35,0.14,0.29,0.03,0.09
1,Abrade,Normal,NM,2023-12-17,EN,,,The Lost Caverns of Ixalan,lci,636839,131,0.35,0.14,0.29,0.03,0.09
1,Abraded Bluffs,Foil,NM,2024-04-23,EN,,,Outlaws of Thunder Junction,otj,655192,251,0.49,0.19,0.39,0.02,0.24
1,Abraded Bluffs,Normal,NM,2024-04-22,EN,,,Outlaws of Thunder Junction,otj,655192,251,0.35,0.13,0.29,0.02,0.16
1,Absolving Lammasu,Normal,NM,2024-02-18,EN,,,Murders at Karlov Manor,mkm,646566,2,0.35,0.08,0.29,0.02,0.04
1,Absolving Lammasu,Normal,NM,2024-02-18,EN,,,Murders at Karlov Manor,mkm,646566,2,0.35,0.08,0.29,0.02,0.04
